age,age_o,d_age,samerace,importance_same_race,importance_same_religion,pref_o_attractive,pref_o_sincere,pref_o_intelligence,pref_o_funny,pref_o_ambitious,pref_o_shared_interests,attractive_o,sinsere_o,intelligence_o,funny_o,ambitous_o,shared_interests_o,attractive_important,sincere_important,intellicence_important,funny_important,ambtition_important,shared_interests_important,attractive,sincere,intelligence,funny,ambition,attractive_partner,sincere_partner,intelligence_partner,funny_partner,ambition_partner,shared_interests_partner,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,interests_correlate,expected_happy_with_sd_people,expected_num_matches,like,guess_prob_liked,met,decision,decision_o,match,gender_female,gender_male,race_asian/pacific islander/asian-american,race_black/african american,race_european/caucasian-american,race_latino/hispanic american,race_other,race_nan,race_o_asian/pacific islander/asian-american,race_o_black/african american,race_o_european/caucasian-american,race_o_latino/hispanic american,race_o_other,race_o_nan,field_business_&_finance,field_creative_arts,field_education,field_engineering_&_technology,field_healthcare,field_humanities,field_law_&_public policy,field_mathematics_&_statistics,field_natural_&_physical_sciences,field_other,field_social_sciences
34,23,11,0,1,1,25,20,15,20,5,15,3,7,8,2,6,1,15,20,20,15,15,15,7,9,8,10,7,10,9,8,8,8,8,7,5,5,8,8,8,8,6,6,9,8,8,9,9,9,7,7,0.54,7,3,8,5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
27,25,2,1,8,8,9.09,18.18,27.27,18.18,18.18,9.09,5,6,7,4,5,6,33.33,11.11,11.11,11.11,11.11,22.22,6,8,6,8,9,9,8,8,8,7,5,5,5,5,9,4,3,4,4,2,6,9,3,9,3,6,2,1,0.17,5,2,7,5,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
23,25,2,0,1,3,11.54,13.46,19.23,19.23,19.23,17.31,9,9,9,9,9,9,25.64,17.95,15.38,20.51,10.26,10.26,10,10,10,10,10,8,7,8,8,7,6,10,7,8,6,7,7,3,2,8,4,5,6,7,4,9,2,4,0.22,3,4,8,7,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
28,26,2,0,7,4,30,5,10,20,30,5,8,8,8,7,7,8,50,10,10,10,10,10,8,6,9,9,9,2,10,6,6,7,2,7,8,7,7,6,6,3,1,6,7,2,2,2,5,9,4,1,0.02,7,2,4,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
25,29,4,0,1,1,30,10,25,20,8,7,8,7,6,6,7,8,20,10,20,20,10,20,8,8,8,6,6,8,8,8,8,8,5,10,7,7,7,7,7,3,3,4,7,9,7,7,7,8,6,9,-0.22,4,6,8,5,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
24,25,1,0,4,7,15,20,30,20,5,10,5,4,7,7,7,4,25,7,35,20,8,5,8,8,8,10,9,8,6,5,8,5,8,7,2,7,8,6,4,3,2,6,5,3,7,6,6,6,4,2,0.55,7,2,8,7,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
28,35,7,0,1,1,10,32,20,12,11,15,8,7,8,8,8,7,30,30,20,10,10,0,10,10,10,10,8,6,7,8,8,9,9,5,5,5,8,10,10,5,5,9,6,6,10,10,10,10,8,5,0.79,8,10,9,9,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
19,21,2,0,5,2,20,15,20,15,12,18,8,8,6,6,6,7,50,15,10,10,10,5,8,10,10,10,10,6,8,8,9,8,6,8,5,8,9,9,9,5,8,10,9,5,10,9,10,10,7,8,0.77,4,5,7,8,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
27,23,4,1,2,3,15,15,20,20,20,10,6,6,6,5,5,5,20,20,20,25,5,10,7,9,8,9,5,8,8,8,8,7,6,7,2,7,9,5,8,5,7,3,9,5,5,9,8,8,6,2,0.33,6,3,8,7,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
22,23,1,0,1,1,10,25,20,25,5,15,6,9,9,6,8,2,60,0,0,40,0,0,9,9,9,10,9,6,8,10,6,7,6,9,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5,0.37,7,3,7,4,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
